global_index,category,pck_hm,pck_rg,hits_hm,hits_rg,denom
0,both_fail,0.0,0.0,0,0,5
1,both_fail,0.0,0.4000000059604645,0,2,5
2,both_fail,0.4000000059604645,0.20000000298023224,2,1,5
3,both_fail,0.0,0.0,0,0,5
4,both_fail,0.0,0.4000000059604645,0,2,5
5,both_fail,0.0,0.4000000059604645,0,2,5
6,both_fail,0.0,0.20000000298023224,0,1,5
7,rg_only,0.0,0.800000011920929,0,4,5
8,both_fail,0.0,0.20000000298023224,0,1,5
9,both_fail,0.20000000298023224,0.0,1,0,5
10,both_fail,0.0,0.0,0,0,5
11,both_fail,0.0,0.0,0,0,5
12,both_fail,0.20000000298023224,0.0,1,0,5
13,both_fail,0.0,0.6000000238418579,0,3,5
14,both_fail,0.20000000298023224,0.4000000059604645,1,2,5
15,both_fail,0.20000000298023224,0.20000000298023224,1,1,5
16,both_fail,0.0,0.0,0,0,5
17,both_fail,0.0,0.0,0,0,5
18,both_fail,0.4000000059604645,0.20000000298023224,2,1,5
19,both_fail,0.20000000298023224,0.0,1,0,5
20,both_fail,0.20000000298023224,0.0,1,0,5
21,both_fail,0.0,0.0,0,0,5
22,both_fail,0.0,0.6000000238418579,0,3,5
23,both_fail,0.0,0.0,0,0,5
24,both_fail,0.4000000059604645,0.0,2,0,5
25,both_fail,0.20000000298023224,0.6000000238418579,1,3,5
26,both_fail,0.0,0.20000000298023224,0,1,5
27,both_fail,0.20000000298023224,0.0,1,0,5
28,both_fail,0.0,0.0,0,0,5
29,both_fail,0.0,0.0,0,0,5
30,both_fail,0.20000000298023224,0.0,1,0,5
31,both_fail,0.20000000298023224,0.0,1,0,5
32,both_fail,0.0,0.20000000298023224,0,1,5
33,both_fail,0.4000000059604645,0.0,2,0,5
34,both_fail,0.0,0.0,0,0,5
35,both_fail,0.0,0.0,0,0,5
36,both_fail,0.0,0.4000000059604645,0,2,5
37,both_fail,0.0,0.0,0,0,5
38,both_fail,0.0,0.0,0,0,5
39,both_fail,0.0,0.0,0,0,5
40,both_fail,0.0,0.0,0,0,5
